Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors
Random,0,11.787704701276693,28.712654470855544,62.472
Random,1,12.668761908793472,26.46438800169804,65.632
Random,2,13.226308296212299,29.92383519180361,60.464
Random,3,12.844122076891802,26.831312952087014,64.968
Random,4,12.871490916480905,24.405724529654332,69.22
Random,5,10.6623719888249,26.29585688095271,64.628
Random,6,11.965729697181352,28.08932320627569,62.244
Random,7,10.808843048170838,24.978800268274338,67.584
Random,8,12.369181956731913,26.952047751260498,63.598
Random,9,12.861898917372669,26.155360887097775,66.25
Random,10,12.062903266754805,24.264363657282036,70.316
Random,11,13.104069418189441,26.76287932496805,64.858
Random,12,13.534816103278104,25.25569488641581,68.65
Random,13,14.201060465198557,27.728716887861925,64.85
Random,14,12.674752606409857,28.060082030673676,64.03
Random,15,14.530237597821008,27.600773359396428,63.624
Random,16,14.270501657415874,28.779422045054105,62.458
Random,17,13.488036135465661,27.207164769112723,61.906
Random,18,13.656071326241596,29.741265593974074,61.014
Random,19,10.250173314181264,26.1096953383431,63.922
Normal,0,18.100794059161696,54.32728248267238,0.0
Normal,1,18.89428455282036,54.935411694394276,0.0
Normal,2,19.351685953551005,53.702567225473764,0.0
Normal,3,20.77494879584368,53.72989589757923,0.0
Normal,4,21.70070483966546,53.72774250806304,0.0
Normal,5,19.130470134650704,51.61916979983125,0.0
Normal,6,16.483567617193987,53.27657016673648,0.0
Normal,7,19.306129414753805,51.90418474508729,0.0
Normal,8,21.590511816194688,53.1173722808647,0.0
Normal,9,18.359680840146073,53.88431418444581,0.0
Normal,10,21.732731039333757,54.628010846889495,0.0
Normal,11,19.17443536790783,51.937678870465604,0.0
Normal,12,18.955862787656443,52.61017012982431,0.0
Normal,13,19.093459553325946,54.48559770695099,0.0
Normal,14,17.41164303010597,53.98451109769226,0.0
Normal,15,19.675600047695173,53.25438501812541,0.0
Normal,16,21.14544705155508,54.10262954121697,0.0
Normal,17,19.763174193404115,51.93826014945789,0.0
Normal,18,16.920543004990193,53.15417995535316,0.0
Normal,19,16.237832997875266,51.797035631701405,0.0
Enhanced,0,2.579831402226844,26.95878582661655,71.338
Enhanced,1,3.66521932752033,29.42448955443318,68.188
Enhanced,2,3.1840551053394965,30.68197958241821,66.546
Enhanced,3,4.218266736496617,29.000268125141908,67.038
Enhanced,4,4.931672693173169,33.79098156772913,58.538
Enhanced,5,3.539768553666018,27.000646215933077,69.986
Enhanced,6,3.5157191773262944,29.79305591704281,67.332
Enhanced,7,3.816519435897286,28.314229917937563,70.798
Enhanced,8,4.387746871893952,34.03568806461099,59.176
Enhanced,9,7.4927346675198665,32.888875086457375,62.56
Enhanced,10,3.9109930501696617,28.962300816749746,68.056
Enhanced,11,3.849590266459728,29.777158507769972,67.22
Enhanced,12,4.5938776137935395,27.441310080870608,69.862
Enhanced,13,3.801038934054944,30.329750446720602,66.598
Enhanced,14,3.3177506294645625,29.409328459464064,67.144
Enhanced,15,3.0582140436793352,32.68634290963754,61.19
Enhanced,16,6.237614812258171,30.27171031363447,67.038
Enhanced,17,3.3972778687743412,29.421892312041244,67.948
Enhanced,18,1.8916919726463282,24.605597220951584,73.87
Enhanced,19,3.4400703164627613,30.37685899202097,66.318
Basic,0,2.579831402226844,26.95878582661655,71.338
Basic,1,3.66521932752033,29.42448955443318,68.188
Basic,2,3.1840551053394965,30.68197958241821,66.546
Basic,3,4.218266736496617,29.000268125141908,67.038
Basic,4,4.931672693173169,33.79098156772913,58.538
Basic,5,3.539768553666018,27.000646215933077,69.986
Basic,6,3.5157191773262944,29.79305591704281,67.332
Basic,7,3.816519435897286,28.314229917937563,70.798
Basic,8,4.387746871893952,34.03568806461099,59.176
Basic,9,7.4927346675198665,32.888875086457375,62.56
Basic,10,3.9109930501696617,28.962300816749746,68.056
Basic,11,3.849590266459728,29.777158507769972,67.22
Basic,12,4.5938776137935395,27.441310080870608,69.862
Basic,13,3.801038934054944,30.329750446720602,66.598
Basic,14,3.3177506294645625,29.409328459464064,67.144
Basic,15,3.0582140436793352,32.68634290963754,61.19
Basic,16,6.237614812258171,30.27171031363447,67.038
Basic,17,3.3972778687743412,29.421892312041244,67.948
Basic,18,1.8916919726463282,24.605597220951584,73.87
Basic,19,3.4400703164627613,30.37685899202097,66.318
VDN,0,15.452737162995675,42.7767030274147,37.0
VDN,1,15.091966563898598,43.818626713075545,37.0
VDN,2,16.129335064662087,43.33886483166199,37.0
VDN,3,16.349074802414968,42.695233702351715,37.0
VDN,4,17.523708368623303,42.790418189945065,37.0
VDN,5,15.16581458449174,41.80326135520664,37.0
VDN,6,14.060733974615882,43.32455633658182,37.0
VDN,7,16.100395628472047,41.32238355153103,37.0
VDN,8,17.651216587889703,42.93068632667322,37.0
VDN,9,14.661204073633723,43.45164100741409,37.0
VDN,10,18.100732523675337,43.392864715319824,37.0
VDN,11,16.08527883462956,41.744767464576455,37.0
VDN,12,15.909897442561682,42.11040319190112,37.0
VDN,13,16.052187445785325,42.77385431964469,37.0
VDN,14,14.142732803811278,43.934261445812886,37.0
VDN,15,15.54503891084915,42.80400423021909,37.0
VDN,16,16.79922304782771,42.63974432428401,37.0
VDN,17,15.81381786538261,42.46303848645108,37.0
VDN,18,15.025366179519715,42.54751089115994,37.0
VDN,19,14.134690830778556,41.5489195330104,37.0
