Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors,Avg_Energy_Efficiency
ALL-ON,0,3.3987853755571944,9.016565514869296,0.0,1.1071390315287672
ALL-ON,1,2.8371571004901526,8.876554419757202,0.0,0.99173321592366
ALL-ON,2,2.7202623551157066,8.823103750387972,0.0,1.1338638041939992
ALL-ON,3,2.937288207684329,8.804067293739257,0.0,1.170687350542083
ALL-ON,4,3.068285198129464,9.229781033286699,0.0,0.6670593306703415
ALL-ON,5,2.452152938217932,8.502189625986201,0.0,1.0563355795947613
ALL-ON,6,2.8611895238469494,8.46242926623964,0.0,1.1177917203783871
ALL-ON,7,2.7521065959994693,8.63983554065998,0.0,1.0918425938555938
ALL-ON,8,3.6508932528930327,9.191751392227479,0.0,1.1254648094903033
ALL-ON,9,2.9860789167987227,8.75653345962306,0.0,1.134505050200915
ALL-ON,10,2.250840936658993,8.305938873487278,0.0,1.0740957127501132
ALL-ON,11,3.272894455770713,9.210765855396865,0.0,1.1214325689344204
ALL-ON,12,2.804442579963849,8.960385733804786,0.0,1.0153207537169031
ALL-ON,13,3.157043345177815,8.928242188357727,0.0,1.117119600377937
ALL-ON,14,3.0117550519898852,9.179706157747994,0.0,1.1185346877314395
ALL-ON,15,2.8698461506290696,8.93377622436258,0.0,1.0397527292665354
ALL-ON,16,3.228939971220405,9.000202464818956,0.0,1.16602975938889
ALL-ON,17,2.82895936714461,8.802015561413484,0.0,1.1680949742794287
ALL-ON,18,3.3355715899628113,9.14082171972317,0.0,0.6764828484404113
ALL-ON,19,2.602696146332604,9.013566086258388,0.0,1.0753048958246465
Liang et al.,0,0.11354210409617102,1.0518984414030066,53.16,1.3311109483901447
Liang et al.,1,0.10051354817872724,0.9451362242961737,53.55,1.2578383127635406
Liang et al.,2,0.24711612710533054,1.1035234839046415,52.84,1.3477435135123437
Liang et al.,3,0.2254749435461578,1.0389845997353016,53.21,1.3528129244622626
Liang et al.,4,0.40895847547872183,1.2589900512234502,52.3,1.0352758866555007
Liang et al.,5,0.14460174786069527,0.9325136393464861,53.61,1.2857205320763574
Liang et al.,6,0.2518044886994978,1.0171641642027793,53.24,1.347588676540123
Liang et al.,7,0.19819609421093287,1.0087381725811189,53.23,1.313630523980873
Liang et al.,8,0.4779701018297435,1.1005859928049277,52.88,1.336342407264269
Liang et al.,9,0.25630453207797027,1.0893106853370553,52.87,1.3304352053054498
Liang et al.,10,0.3839067001175692,1.1011219440263407,52.87,1.3170494911198767
