Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors
Random,0,6.017903054200049,20.419686846008357,22.14
Random,1,10.100023386317039,20.856269933091536,22.76
Random,2,5.931679473442692,18.931902552512636,24.34
Random,3,6.779216076911191,18.88582615578454,24.82
Random,4,8.904238209311632,21.4411284886157,20.25
Random,5,7.148211513311044,20.45042907363506,22.1
Random,6,8.610153828881632,21.17772699667527,22.55
Random,7,7.994617814594559,19.350001356388873,23.16
Random,8,4.523010511655138,21.968758551391307,21.17
Random,9,5.12826066005087,20.407236394051996,22.01
Random,10,6.2180783447483226,19.53397711209915,24.11
Random,11,10.77225049320094,19.804530306191154,23.24
Random,12,8.44835677588506,18.440258811349413,25.67
Random,13,5.0756926126722615,19.847432765122115,23.5
Random,14,7.973272000914941,20.05004897177751,24.27
Random,15,9.278897881091838,19.96076266307634,22.9
Random,16,9.47949850559783,21.597357875165144,22.83
Random,17,4.248415723080013,19.280672281681035,24.31
Random,18,5.937886791160777,20.48643506581009,22.45
Random,19,8.339111086084879,20.71445554483588,20.34
Normal,0,7.714616712597522,31.0687067192295,0.0
Normal,1,10.298004841515304,30.126389836931477,0.0
Normal,2,7.808714081560356,31.360591757104427,0.0
Normal,3,5.564191822421987,30.491842350414764,0.0
Normal,4,9.362499618556978,29.83400895837874,0.0
Normal,5,5.425405164039181,31.007839389797322,0.0
Normal,6,6.005747288291277,30.428787925817947,0.0
Normal,7,5.053317639888787,29.30732697950913,0.0
Normal,8,8.903248472108176,30.108024062805104,0.0
Normal,9,4.7105465710479635,30.929202198055,0.0
Normal,10,8.579925764985669,30.431514590415617,0.0
Normal,11,9.866757423303303,29.819588871851607,0.0
Normal,12,8.471386670135985,30.605620915231125,0.0
Normal,13,6.456981280162789,30.36976223096915,0.0
Normal,14,5.607539634442525,30.127201336214863,0.0
Normal,15,11.517940994921716,31.4037480844896,0.0
Normal,16,8.76926018605644,30.857018180440217,0.0
Normal,17,5.254787214456959,29.98040303562525,0.0
Normal,18,8.113428426567786,29.886837343824894,0.0
Normal,19,7.864019010566731,30.06679971747058,0.0
Enhanced,0,1.4271205071152415,23.70373581846449,22.19
Enhanced,1,4.455889432194546,23.38354164054543,22.6
Enhanced,2,2.16251429978376,26.783978081720647,16.91
Enhanced,3,1.1214507470403812,23.010679573452826,22.83
Enhanced,4,1.5571293874463599,23.963294465536944,20.26
Enhanced,5,1.2187093008220309,22.557250454236712,23.83
Enhanced,6,1.099617190473603,19.155722616244603,29.96
Enhanced,7,1.1800043703664524,21.17964952278387,26.46
Enhanced,8,2.288632535580162,23.400915483937126,21.64
Enhanced,9,1.1403069997620336,23.003035482493228,22.91
Enhanced,10,1.704009656924915,23.926162806018496,21.71
Enhanced,11,3.5343089305923363,21.161264782038533,24.74
Enhanced,12,1.695077762113004,24.355989493458715,20.95
Enhanced,13,0.9924342895242922,13.729754767377173,36.52
Enhanced,14,0.9924342895242922,21.61442639980521,24.5
Enhanced,15,3.8119400810386437,26.84356351620726,15.93
Enhanced,16,1.8240942153566746,23.78879952669925,21.37
Enhanced,17,1.220694166349352,21.240031163175992,24.81
Enhanced,18,1.7486692108176578,25.45939069651036,18.34
Enhanced,19,1.2008454847092154,20.541487242333236,27.58
Basic,0,1.4271205071152415,23.70373581846449,22.19
Basic,1,4.455889432194546,23.38354164054543,22.6
Basic,2,2.16251429978376,26.783978081720647,16.91
Basic,3,1.1214507470403812,23.010679573452826,22.83
Basic,4,1.5571293874463599,23.963294465536944,20.26
Basic,5,1.2187093008220309,22.557250454236712,23.83
Basic,6,1.1194658706489107,19.33016054857838,29.61
Basic,7,1.1800043703664524,21.17964952278387,26.46
Basic,8,2.288632535580162,23.400915483937126,21.64
Basic,9,1.1403069997620336,23.003035482493228,22.91
Basic,10,1.704009656924915,23.926162806018496,21.71
Basic,11,3.5343089305923363,21.161264782038533,24.74
Basic,12,1.695077762113004,24.355989493458715,20.95
Basic,13,0.9924342895242922,18.28573476356545,30.92
Basic,14,0.9924342895242922,21.61442639980521,24.5
Basic,15,3.8119400810386437,26.84356351620726,15.93
Basic,16,1.8240942153566746,23.78879952669925,21.37
Basic,17,1.220694166349352,21.240031163175992,24.81
Basic,18,1.7486692108176578,25.45939069651036,18.34
Basic,19,1.2008454847092154,20.541487242333236,27.58
VDN,0,6.6343054823541125,25.178432364529428,12.75
VDN,1,8.768049622711171,22.272906585984188,19.2
VDN,2,6.864187651580514,22.852693717774432,19.0
VDN,3,7.5141674628938535,22.993104944666186,17.7
VDN,4,6.186024808208951,23.50967285865517,17.97
VDN,5,7.943591158601353,23.754253720607704,15.0
VDN,6,6.366437997218235,17.651630118711857,29.79
VDN,7,2.802969648282033,20.80014335003615,20.78
VDN,8,6.984635179130386,19.62382663583169,26.91
VDN,9,5.293980401046819,23.002943944116847,16.65
VDN,10,5.892082318922905,23.313320339010737,17.46
VDN,11,7.664066190758991,22.789285345643552,17.79
VDN,12,8.410084210627925,20.86480401213017,23.94
VDN,13,5.3973477631480415,23.23014746602526,14.97
VDN,14,0.9924342895242922,19.225516108721816,24.86
VDN,15,7.305367149247514,26.364117947431595,14.97
VDN,16,5.889065779664621,16.935855994287348,32.61
VDN,17,7.7186775381925745,21.390719298082665,21.81
VDN,18,6.291053896403022,18.60176047167034,27.19
VDN,19,6.350075441788613,23.084824297848407,17.49
